ID,FirstName,LastName,Email,Phone,Department,Position,Salary,StartDate,City,State,Country,EmployeeType,PerformanceScore,YearsExperience,Skills
EMP000017,Michael,Williams,user17@company.com,+1-311-335-2066,Finance,Analyst,125259.96,2019-07-16,Houston,TX,France,Intern,3.2,2,"SQL, JavaScript"
EMP000018,Sarah,Jones,user18@company.com,+1-341-596-5233,Marketing,Analyst,90732.37,2025-08-31,New York,CA,USA,Contract,3.44,26,"SQL, Communication"
EMP000019,Robert,Smith,user19@company.com,+1-716-633-7345,Engineering,Developer,37746.14,2019-10-19,New York,CA,Canada,Contract,3.9,1,Python
EMP000020,John,Williams,user20@company.com,+1-434-831-2598,Marketing,Developer,131695.55,2023-08-27,Los Angeles,TX,USA,Contract,2.79,8,Python
EMP000021,Sarah,Smith,user21@company.com,+1-240-679-3360,Engineering,Coordinator,141615.48,2017-06-19,Phoenix,TX,UK,Intern,4.81,23,"JavaScript, Excel, Python"
EMP000022,Sarah,Williams,user22@company.com,+1-331-654-8622,Marketing,Specialist,106132.93,2016-12-07,Phoenix,TX,Canada,Contract,4.23,22,"Communication, JavaScript, Excel"
EMP000023,Jane,Jones,user23@company.com,+1-562-592-9205,IT,Specialist,110544.93,2021-02-25,Phoenix,CA,Canada,Contract,2.54,7,"Communication, Python, SQL"
EMP000024,Jane,Smith,user24@company.com,+1-717-336-7108,Sales,Coordinator,72902.49,2019-08-10,Phoenix,NY,USA,Intern,4.36,24,"SQL, Communication"
EMP000025,Robert,Smith,user25@company.com,+1-529-653-8518,HR,Specialist,39585.86,2016-09-26,Phoenix,IL,USA,Part-time,4.57,4,"JavaScript, SQL"
EMP000026,Sarah,Johnson,user26@company.com,+1-789-324-5081,Sales,Manager,52011.66,2023-02-13,Chicago,TX,USA,Full-time,2.92,4,Excel
EMP000027,Lisa,Miller,user27@company.com,+1-377-510-9490,Engineering,Analyst,46578.92,2019-06-11,Los Angeles,NY,France,Contract,4.93,22,"Excel, Python"
EMP000028,Sarah,Smith,user28@company.com,+1-671-689-8646,IT,Coordinator,96382.89,2023-09-16,Chicago,IL,UK,Full-time,3.27,12,SQL
EMP000029,Jane,Jones,user29@company.com,+1-324-261-5025,Finance,Coordinator,37540.65,2017-09-30,Chicago,IL,UK,Contract,4.2,15,"SQL, Communication, JavaScript"
EMP000030,Michael,Brown,user30@company.com,+1-950-586-5023,Marketing,Developer,40909.76,2023-03-08,Los Angeles,CA,Germany,Part-time,4.88,19,JavaScript
EMP000031,David,Johnson,user31@company.com,+1-282-213-7225,HR,Analyst,69850.45,2023-06-22,Los Angeles,IL,France,Intern,3.31,21,"Communication, SQL"
EMP000032,Michael,Johnson,user32@company.com,+1-482-839-2191,Finance,Developer,100599.56,2021-12-01,Phoenix,AZ,USA,Contract,4.77,18,"Excel, JavaScript"
EMP000033,David,Jones,user33@company.com,+1-832-262-8156,Engineering,Manager,67928.25,2020-04-11,Phoenix,AZ,Germany,Contract,2.7,19,"SQL, Python, JavaScript"
EMP000034,Sarah,Brown,user34@company.com,+1-608-441-8395,Marketing,Analyst,146748.43,2016-12-24,Houston,CA,France,Part-time,3.25,8,"Python, Communication, JavaScript"
EMP000035,Sarah,Johnson,user35@company.com,+1-437-251-3324,Sales,Analyst,136799.6,2025-11-22,New York,PA,Canada,Contract,4.63,25,JavaScript
EMP000036,John,Brown,user36@company.com,+1-260-292-9761,HR,Coordinator,86598.09,2019-10-12,Chicago,IL,Germany,Intern,4.34,6,"Communication, Excel, JavaScript"
EMP000037,Jane,Brown,user37@company.com,+1-912-188-2497,HR,Coordinator,84905.84,2025-06-20,New York,AZ,UK,Full-time,3.06,15,Excel
EMP000038,Lisa,Garcia,user38@company.com,+1-984-611-6345,Marketing,Manager,77087.54,2025-11-19,New York,TX,USA,Contract,3.36,21,"Excel, JavaScript, Communication"
EMP000039,Sarah,Garcia,user39@company.com,+1-383-756-6451,Marketing,Analyst,90947.04,2017-10-18,Los Angeles,CA,Canada,Full-time,4.29,19,"Communication, Excel, SQL"
EMP000040,Michael,Jones,user40@company.com,+1-995-279-1907,Engineering,Manager,50899.34,2018-08-28,New York,NY,UK,Contract,2.79,21,Communication
EMP000041,John,Brown,user41@company.com,+1-417-504-2827,IT,Developer,66752.29,2021-10-26,Phoenix,CA,Canada,Intern,2.65,10,"SQL, Excel, Communication"
EMP000042,John,Garcia,user42@company.com,+1-448-686-7079,HR,Coordinator,102454.67,2021-11-08,Phoenix,CA,France,Part-time,4.52,26,"Excel, JavaScript, Communication"
EMP000043,Lisa,Jones,user43@company.com,+1-785-777-3348,Sales,Developer,44900.82,2022-09-24,New York,IL,Canada,Full-time,2.84,14,"Python, JavaScript"
EMP000044,Robert,Garcia,user44@company.com,+1-548-907-7856,HR,Analyst,85589.1,2023-04-20,Los Angeles,AZ,Canada,Part-time,4.68,19,"SQL, Excel"
EMP000045,John,Johnson,user45@company.com,+1-869-726-2801,Finance,Developer,106157.22,2022-01-14,New York,CA,USA,Intern,4.92,5,"JavaScript, Excel"
EMP000046,Emily,Williams,user46@company.com,+1-440-112-4123,Sales,Specialist,87207.19,2023-11-18,New York,NY,Canada,Contract,3.86,19,Excel
EMP000047,David,Brown,user47@company.com,+1-207-561-7710,IT,Manager,126929.31,2019-05-28,New York,CA,Germany,Full-time,4.68,13,Python
EMP000048,Robert,Miller,user48@company.com,+1-704-556-5992,Sales,Specialist,97585.67,2023-04-13,Los Angeles,IL,Canada,Full-time,3.24,22,"Python, Excel"
EMP000049,John,Johnson,user49@company.com,+1-497-669-8079,Engineering,Specialist,39622.43,2021-05-24,New York,PA,UK,Intern,2.92,0,"Python, JavaScript, Excel"
EMP000050,Emily,Johnson,user50@company.com,+1-781-777-7426,HR,Developer,36261.33,2017-07-26,Los Angeles,CA,France,Part-time,4.52,17,SQL
EMP000051,Jane,Johnson,user51@company.com,+1-669-735-8741,Sales,Coordinator,67390.13,2019-01-26,New York,PA,Canada,Part-time,3.85,1,Communication
EMP000052,Emily,Garcia,user52@company.com,+1-236-227-9492,IT,Specialist,118536.91,2017-06-20,New York,IL,Germany,Part-time,4.79,17,Communication
EMP000053,David,Brown,user53@company.com,+1-617-193-7400,Finance,Specialist,116634.53,2018-01-19,Houston,AZ,UK,Intern,4.34,4,"Excel, JavaScript"
EMP000054,John,Williams,user54@company.com,+1-209-574-2605,Marketing,Developer,45759.9,2022-04-17,New York,TX,France,Full-time,4.36,7,"Communication, SQL"
EMP000055,Robert,Garcia,user55@company.com,+1-669-366-6823,HR,Manager,63364.72,2023-04-22,Chicago,TX,Canada,Contract,2.85,1,JavaScript
EMP000056,David,Miller,user56@company.com,+1-773-441-2947,Marketing,Specialist,72250.42,2024-11-07,New York,AZ,Germany,Intern,4.93,22,"Python, Excel"
EMP000057,John,Johnson,user57@company.com,+1-525-978-4758,Marketing,Developer,40538.21,2016-06-02,Houston,AZ,Germany,Full-time,2.62,11,"Excel, SQL"
EMP000058,John,Jones,user58@company.com,+1-955-176-5022,Sales,Developer,106903.56,2023-10-17,Phoenix,AZ,Germany,Full-time,4.58,17,"SQL, Excel, JavaScript"
EMP000059,Robert,Garcia,user59@company.com,+1-966-637-2918,Finance,Analyst,129198.86,2019-07-21,Chicago,AZ,UK,Part-time,3.72,0,Python
EMP000060,Jane,Jones,user60@company.com,+1-979-821-2391,Sales,Specialist,147076.75,2020-04-29,Chicago,CA,UK,Intern,3.64,21,"JavaScript, Python"
EMP000061,Sarah,Smith,user61@company.com,+1-324-867-2319,HR,Analyst,59102.95,2021-12-16,New York,AZ,France,Part-time,3.65,17,Excel
EMP000062,Emily,Miller,user62@company.com,+1-642-994-3570,HR,Analyst,36113.78,2016-12-12,Chicago,NY,UK,Full-time,2.66,0,"SQL, Excel, Python"
EMP000063,Michael,Garcia,user63@company.com,+1-301-485-4726,IT,Manager,108061.54,2025-05-03,Chicago,CA,France,Part-time,4.75,3,"JavaScript, SQL"
EMP000064,Jane,Williams,user64@company.com,+1-351-847-4039,IT,Manager,116503.47,2022-02-04,New York,NY,Germany,Contract,3.17,29,"JavaScript, SQL"
EMP000065,Michael,Smith,user65@company.com,+1-468-617-7387,HR,Coordinator,78949.6,2022-09-21,Houston,NY,France,Part-time,3.95,28,"Communication, Excel"
EMP000066,Lisa,Garcia,user66@company.com,+1-891-234-9598,Engineering,Analyst,74107.68,2019-10-29,Houston,NY,USA,Full-time,3.52,14,SQL
EMP000067,John,Williams,user67@company.com,+1-582-821-8625,HR,Coordinator,85093.9,2017-07-28,Houston,NY,UK,Intern,3.09,18,"Communication, Excel"
EMP000068,David,Miller,user68@company.com,+1-230-976-1566,Finance,Specialist,82367.06,2019-06-26,Houston,CA,France,Part-time,4.18,24,"Python, Communication"
EMP000069,John,Garcia,user69@company.com,+1-651-905-6921,Finance,Specialist,130256.71,2019-08-15,Phoenix,PA,Germany,Part-time,3.96,0,JavaScript
EMP000070,Emily,Williams,user70@company.com,+1-341-657-8913,Marketing,Manager,46611.44,2024-04-06,Houston,AZ,Germany,Part-time,2.92,11,"SQL, Excel"
EMP000071,Michael,Smith,user71@company.com,+1-381-105-4219,Sales,Coordinator,141034.48,2020-12-26,Los Angeles,IL,UK,Full-time,4.78,24,"Excel, Python, Communication"
EMP000072,John,Jones,user72@company.com,+1-453-366-1207,IT,Analyst,142960.91,2017-10-04,Los Angeles,CA,Germany,Intern,2.53,27,"Excel, SQL, JavaScript"
EMP000073,David,Jones,user73@company.com,+1-566-231-4695,IT,Manager,85897.0,2021-06-14,Los Angeles,AZ,Canada,Part-time,3.06,22,"SQL, Communication"
EMP000074,John,Garcia,user74@company.com,+1-271-863-4127,Engineering,Coordinator,145431.94,2022-10-18,Chicago,TX,Canada,Contract,4.83,18,Python
EMP000075,Emily,Miller,user75@company.com,+1-236-685-7476,HR,Specialist,108643.54,2025-11-12,Phoenix,NY,Canada,Intern,4.85,16,"Python, JavaScript"
EMP000076,Robert,Williams,user76@company.com,+1-517-649-4894,Marketing,Manager,36834.31,2021-05-20,Los Angeles,AZ,France,Contract,2.51,19,"SQL, Python"
EMP000077,Robert,Miller,user77@company.com,+1-531-865-5736,IT,Manager,110023.8,2023-01-25,Phoenix,NY,Canada,Contract,2.63,18,"JavaScript, SQL, Excel"
EMP000078,Michael,Brown,user78@company.com,+1-620-296-9703,Sales,Analyst,116460.14,2017-12-27,Chicago,PA,France,Part-time,3.67,17,"Python, JavaScript, Excel"
EMP000079,Lisa,Garcia,user79@company.com,+1-919-451-3369,HR,Manager,71664.49,2021-01-23,Phoenix,TX,Germany,Part-time,2.71,19,SQL
EMP000080,Sarah,Smith,user80@company.com,+1-892-954-3535,IT,Specialist,50242.56,2023-08-09,New York,IL,France,Contract,4.5,9,Communication
EMP000081,Sarah,Miller,user81@company.com,+1-677-134-9811,Engineering,Coordinator,142908.43,2024-11-08,New York,PA,Canada,Part-time,3.88,26,"Excel, Communication, Python"
EMP000082,Jane,Williams,user82@company.com,+1-761-815-9818,Sales,Manager,95140.71,2023-08-29,Houston,TX,Germany,Contract,3.05,25,"JavaScript, Python"
EMP000083,John,Brown,user83@company.com,+1-992-732-5157,Engineering,Developer,96251.83,2018-12-19,Phoenix,CA,Canada,Intern,3.16,4,"SQL, JavaScript"
EMP000084,David,Williams,user84@company.com,+1-319-904-4690,HR,Manager,75371.52,2017-03-10,Houston,NY,France,Intern,4.69,0,JavaScript
EMP000085,Emily,Brown,user85@company.com,+1-860-943-2706,Sales,Coordinator,64491.19,2016-12-21,Chicago,TX,Canada,Full-time,4.31,10,Excel
EMP000086,David,Garcia,user86@company.com,+1-935-575-4935,IT,Analyst,102958.43,2026-02-05,Houston,PA,France,Part-time,3.96,20,"JavaScript, Communication, SQL"
EMP000087,David,Garcia,user87@company.com,+1-448-712-2465,Marketing,Manager,114023.03,2021-01-19,Chicago,IL,Germany,Part-time,4.93,8,JavaScript
EMP000088,Michael,Smith,user88@company.com,+1-695-313-5531,Engineering,Specialist,57997.46,2019-08-04,Phoenix,AZ,Canada,Full-time,3.26,30,"JavaScript, Excel, Communication"
EMP000089,John,Garcia,user89@company.com,+1-775-649-5442,Marketing,Analyst,37566.08,2024-05-27,Los Angeles,IL,UK,Contract,4.4,22,"Communication, Python"
EMP000090,Lisa,Johnson,user90@company.com,+1-805-673-4315,HR,Coordinator,48375.69,2018-12-05,Houston,NY,USA,Intern,3.61,14,"Excel, Communication"
EMP000091,Jane,Jones,user91@company.com,+1-578-964-8857,Marketing,Analyst,46709.07,2018-09-15,Los Angeles,PA,France,Full-time,3.22,28,JavaScript
EMP000092,John,Jones,user92@company.com,+1-257-300-5561,IT,Coordinator,64192.94,2020-09-02,Los Angeles,IL,Germany,Full-time,2.71,30,Communication
EMP000093,Sarah,Miller,user93@company.com,+1-973-720-2784,Engineering,Developer,69099.25,2019-07-06,New York,AZ,France,Part-time,3.8,8,"Python, Excel"
EMP000094,Robert,Garcia,user94@company.com,+1-492-587-6904,IT,Analyst,79430.24,2025-05-26,Chicago,IL,USA,Intern,3.46,27,Excel
EMP000095,Michael,Jones,user95@company.com,+1-323-320-9226,Finance,Developer,71192.1,2026-01-20,Chicago,PA,USA,Intern,2.68,25,"SQL, Excel"
EMP000096,Sarah,Miller,user96@company.com,+1-719-774-1622,IT,Coordinator,84369.29,2023-05-12,Los Angeles,AZ,France,Part-time,2.98,19,Excel
EMP000097,Sarah,Garcia,user97@company.com,+1-665-651-5133,Finance,Coordinator,120242.43,2018-01-06,Houston,AZ,Canada,Full-time,3.62,10,Python
EMP000098,Sarah,Miller,user98@company.com,+1-914-799-2165,IT,Coordinator,111859.44,2023-09-10,New York,TX,Canada,Part-time,4.9,1,"Python, JavaScript, SQL"
EMP000099,Emily,Miller,user99@company.com,+1-702-887-9275,Finance,Manager,77573.87,2020-12-19,Houston,CA,France,Full-time,3.69,18,"JavaScript, Python, Communication"
EMP000100,John,Garcia,user100@company.com,+1-835-719-9954,IT,Analyst,76119.09,2018-07-11,Chicago,TX,Germany,Part-time,2.51,13,"SQL, Communication, Python"
EMP000101,Lisa,Miller,user101@company.com,+1-461-218-3020,Finance,Developer,56856.79,2019-10-28,Chicago,AZ,Canada,Contract,4.37,14,"SQL, Communication"
EMP000102,David,Miller,user102@company.com,+1-236-138-7455,HR,Manager,94933.99,2022-05-09,Chicago,CA,Germany,Full-time,3.46,26,"Python, Excel, Communication"
EMP000103,Michael,Jones,user103@company.com,+1-948-129-7754,IT,Specialist,39504.1,2019-04-17,Los Angeles,PA,Canada,Contract,3.64,22,"Communication, Excel"
EMP000104,John,Brown,user104@company.com,+1-510-886-4197,Engineering,Analyst,84291.96,2025-10-10,New York,TX,France,Contract,2.62,12,"Communication, Python, Excel"
EMP000105,Emily,Smith,user105@company.com,+1-315-939-9523,Engineering,Manager,44876.2,2022-04-17,Phoenix,CA,UK,Contract,4.49,23,"SQL, Excel, JavaScript"
EMP000106,Emily,Brown,user106@company.com,+1-357-709-4709,HR,Specialist,141431.28,2019-08-15,Houston,CA,Canada,Intern,2.55,25,"Communication, Python"
EMP000107,Jane,Johnson,user107@company.com,+1-213-788-5711,HR,Manager,72588.97,2020-06-06,Chicago,PA,USA,Full-time,4.5,15,SQL
EMP000108,Robert,Miller,user108@company.com,+1-741-504-7880,Engineering,Specialist,78900.65,2021-03-10,Los Angeles,AZ,France,Contract,2.6,18,"JavaScript, SQL"
EMP000109,Jane,Jones,user109@company.com,+1-675-454-2347,Marketing,Developer,36326.81,2024-09-21,Houston,AZ,France,Intern,3.77,9,"Python, SQL"
EMP000110,Sarah,Miller,user110@company.com,+1-352-104-6159,Sales,Manager,59870.87,2022-03-14,Chicago,TX,Germany,Intern,3.82,17,Communication
EMP000111,John,Smith,user111@company.com,+1-884-218-9293,Finance,Coordinator,70828.01,2018-01-19,New York,NY,Germany,Full-time,4.63,23,Communication
EMP000112,Michael,Jones,user112@company.com,+1-540-231-6168,Sales,Analyst,78277.33,2020-09-11,New York,TX,France,Intern,4.47,21,"Communication, Python, SQL"
EMP000113,Jane,Johnson,user113@company.com,+1-307-989-4332,Engineering,Specialist,72048.26,2019-04-16,Los Angeles,TX,USA,Part-time,2.52,26,"JavaScript, Excel"
EMP000114,John,Miller,user114@company.com,+1-729-724-7768,HR,Specialist,92319.54,2017-03-23,Los Angeles,AZ,Canada,Full-time,4.71,16,"Communication, Excel, Python"
EMP000115,Emily,Smith,user115@company.com,+1-829-453-8267,Marketing,Specialist,123690.02,2020-09-21,Los Angeles,CA,Germany,Full-time,2.76,22,"Excel, JavaScript"
EMP000116,Lisa,Jones,user116@company.com,+1-914-805-3888,HR,Specialist,48379.57,2016-07-08,Chicago,CA,France,Intern,2.62,1,JavaScript
EMP000117,Emily,Johnson,user117@company.com,+1-810-497-9824,Marketing,Coordinator,47246.91,2020-10-15,Los Angeles,IL,Germany,Full-time,3.57,27,"SQL, Communication, Python"
EMP000118,Sarah,Williams,user118@company.com,+1-686-669-2650,IT,Manager,81859.15,2024-04-29,Los Angeles,AZ,USA,Full-time,3.92,27,"Excel, JavaScript"
EMP000119,Michael,Brown,user119@company.com,+1-637-220-6712,Marketing,Specialist,40197.04,2017-07-09,Chicago,CA,France,Part-time,3.95,10,JavaScript
EMP000120,Michael,Jones,user120@company.com,+1-610-426-2677,IT,Analyst,75408.13,2022-10-18,Chicago,CA,UK,Full-time,3.24,14,"Communication, JavaScript, SQL"
EMP000121,Lisa,Jones,user121@company.com,+1-657-849-1648,HR,Analyst,54031.88,2017-08-31,Houston,TX,France,Contract,4.43,20,JavaScript
EMP000122,Sarah,Miller,user122@company.com,+1-724-466-6004,HR,Specialist,140514.62,2023-07-06,Phoenix,NY,Canada,Part-time,3.92,22,"Python, Excel"
EMP000123,David,Williams,user123@company.com,+1-412-709-8695,Engineering,Analyst,102154.27,2023-05-03,Houston,PA,Canada,Part-time,3.94,9,"Communication, JavaScript"
EMP000124,Emily,Smith,user124@company.com,+1-319-418-1462,Marketing,Developer,63213.27,2025-07-25,New York,CA,UK,Contract,4.9,26,"Excel, JavaScript, Communication"
EMP000125,Sarah,Smith,user125@company.com,+1-920-953-8920,Engineering,Developer,111479.78,2018-11-11,Phoenix,CA,UK,Contract,4.95,14,"JavaScript, Excel, SQL"
EMP000126,Robert,Brown,user126@company.com,+1-670-673-6548,IT,Coordinator,88216.63,2025-02-19,Los Angeles,CA,Canada,Contract,3.43,18,SQL
EMP000127,Michael,Johnson,user127@company.com,+1-580-591-6394,Sales,Coordinator,36661.93,2023-01-20,Chicago,IL,USA,Contract,3.32,10,JavaScript
EMP000128,Emily,Johnson,user128@company.com,+1-608-939-8553,Engineering,Coordinator,136704.68,2020-11-12,Houston,NY,France,Intern,2.9,27,SQL
EMP000129,Lisa,Johnson,user129@company.com,+1-974-111-2369,Marketing,Developer,88753.44,2017-08-19,Phoenix,AZ,Canada,Contract,3.11,6,"SQL, JavaScript"
EMP000130,Emily,Brown,user130@company.com,+1-515-493-3079,Finance,Coordinator,83329.69,2025-11-27,Phoenix,AZ,UK,Part-time,4.1,19,SQL
EMP000131,Robert,Williams,user131@company.com,+1-554-790-8697,Engineering,Developer,135662.91,2016-04-21,Phoenix,CA,Germany,Intern,4.77,12,"SQL, Python"
EMP000132,Emily,Brown,user132@company.com,+1-860-929-9679,Sales,Analyst,115445.71,2016-05-22,New York,AZ,France,Contract,4.65,9,SQL
EMP000133,Michael,Johnson,user133@company.com,+1-916-981-8227,Sales,Specialist,137222.65,2021-11-18,New York,TX,Canada,Full-time,3.99,18,JavaScript
EMP000134,Jane,Smith,user134@company.com,+1-548-185-2049,Marketing,Coordinator,53837.81,2017-08-30,Houston,CA,Germany,Full-time,4.0,5,"JavaScript, Python, Excel"
EMP000135,Robert,Johnson,user135@company.com,+1-557-265-7711,HR,Developer,125142.55,2022-06-06,Phoenix,TX,USA,Intern,4.43,19,"Communication, JavaScript"
EMP000136,Emily,Johnson,user136@company.com,+1-583-274-4803,IT,Analyst,124527.09,2025-10-13,New York,NY,UK,Part-time,2.6,14,JavaScript
EMP000137,John,Miller,user137@company.com,+1-506-708-3424,Marketing,Developer,102298.5,2018-03-31,Chicago,TX,USA,Full-time,4.34,23,"Communication, Excel, JavaScript"
EMP000138,Emily,Brown,user138@company.com,+1-743-807-9925,Engineering,Analyst,86722.69,2021-09-13,Los Angeles,CA,UK,Full-time,2.66,19,"Python, Communication"
EMP000139,Emily,Miller,user139@company.com,+1-876-105-2219,IT,Developer,147330.21,2018-07-26,New York,AZ,Canada,Intern,3.1,26,Excel
EMP000140,Sarah,Jones,user140@company.com,+1-657-539-8284,Engineering,Manager,86710.2,2023-05-27,Los Angeles,AZ,France,Full-time,3.88,26,"SQL, Python, JavaScript"
EMP000141,Jane,Brown,user141@company.com,+1-219-622-1350,Finance,Manager,134475.62,2019-10-29,Chicago,TX,USA,Contract,3.17,14,Communication
EMP000142,David,Jones,user142@company.com,+1-846-419-6756,Engineering,Specialist,125728.15,2018-01-12,Phoenix,NY,USA,Intern,3.14,22,SQL
EMP000143,Lisa,Johnson,user143@company.com,+1-826-817-7817,Sales,Manager,110563.57,2023-02-26,New York,TX,Germany,Full-time,4.48,11,Excel
EMP000144,Lisa,Williams,user144@company.com,+1-461-366-4004,HR,Specialist,54875.55,2023-10-23,Phoenix,AZ,Germany,Intern,3.16,5,JavaScript
EMP000145,Emily,Williams,user145@company.com,+1-648-189-2009,Engineering,Analyst,148928.51,2018-08-03,Chicago,IL,UK,Contract,4.38,1,Python
EMP000146,David,Miller,user146@company.com,+1-694-982-6978,Finance,Manager,50471.74,2023-01-06,New York,NY,UK,Part-time,4.83,6,"Python, SQL, Excel"
EMP000147,Emily,Miller,user147@company.com,+1-901-378-1507,Sales,Developer,136597.84,2017-10-30,Houston,PA,Germany,Contract,3.5,25,Excel
EMP000148,Lisa,Smith,user148@company.com,+1-894-554-4675,Sales,Analyst,97415.98,2021-09-01,Los Angeles,IL,Germany,Full-time,4.02,30,"JavaScript, SQL"
EMP000149,Michael,Johnson,user149@company.com,+1-375-622-4820,Marketing,Coordinator,73057.81,2017-06-30,Houston,AZ,USA,Part-time,2.65,9,"Python, Communication"
EMP000150,Emily,Brown,user150@company.com,+1-976-426-9740,HR,Specialist,110445.24,2025-02-25,Los Angeles,PA,Canada,Full-time,2.54,6,Communication
EMP000151,John,Jones,user151@company.com,+1-848-236-7379,HR,Developer,100066.64,2018-12-24,Houston,TX,Germany,Contract,3.66,12,"Communication, Excel"
EMP000152,Sarah,Williams,user152@company.com,+1-604-315-8207,Sales,Manager,47908.75,2023-10-03,Phoenix,AZ,France,Contract,3.42,22,Excel
EMP000153,Lisa,Johnson,user153@company.com,+1-488-296-3989,Engineering,Developer,66305.45,2022-01-08,Los Angeles,NY,France,Contract,4.83,12,Communication
EMP000154,Lisa,Jones,user154@company.com,+1-573-174-5514,IT,Coordinator,45534.55,2019-03-12,Chicago,PA,Germany,Contract,3.99,23,"Python, Excel, Communication"
EMP000155,Jane,Jones,user155@company.com,+1-353-535-4043,HR,Coordinator,137287.48,2025-06-20,Phoenix,TX,UK,Intern,3.95,25,"Python, Excel"
EMP000156,John,Williams,user156@company.com,+1-863-326-8727,Marketing,Analyst,117637.96,2017-04-07,Los Angeles,NY,UK,Part-time,3.08,18,"Python, Communication, SQL"
EMP000157,Robert,Garcia,user157@company.com,+1-912-564-3179,Finance,Coordinator,64054.42,2024-11-09,Los Angeles,PA,France,Part-time,4.38,2,"Python, JavaScript"
EMP000158,Michael,Brown,user158@company.com,+1-871-114-6465,Engineering,Coordinator,45566.22,2020-08-20,Phoenix,NY,UK,Part-time,3.53,0,JavaScript
EMP000159,Emily,Brown,user159@company.com,+1-627-597-4144,Sales,Developer,55147.54,2020-12-23,Houston,TX,Canada,Full-time,3.71,5,"Python, Excel, JavaScript"
EMP000160,Robert,Williams,user160@company.com,+1-323-182-7259,HR,Analyst,129295.64,2022-09-12,Los Angeles,CA,France,Contract,3.85,29,Python
EMP000161,David,Garcia,user161@company.com,+1-415-308-1903,HR,Developer,69403.37,2022-05-30,Houston,AZ,UK,Contract,2.87,9,"SQL, Communication, JavaScript"
EMP000162,Emily,Brown,user162@company.com,+1-795-658-2392,Sales,Developer,95763.24,2018-05-05,Los Angeles,IL,UK,Intern,4.66,14,"JavaScript, SQL, Python"
EMP000163,Jane,Jones,user163@company.com,+1-524-776-7514,Finance,Specialist,126406.88,2016-03-28,Houston,IL,Germany,Intern,3.01,28,SQL
EMP000164,Lisa,Smith,user164@company.com,+1-613-328-6606,Engineering,Manager,51750.4,2023-02-18,Phoenix,TX,France,Part-time,4.02,1,SQL
EMP000165,Lisa,Miller,user165@company.com,+1-597-954-8187,Sales,Analyst,120461.09,2021-12-19,Phoenix,AZ,USA,Contract,4.89,22,Communication
EMP000166,Sarah,Miller,user166@company.com,+1-967-943-8142,Marketing,Coordinator,136404.81,2023-02-10,Chicago,TX,Germany,Part-time,4.45,12,"SQL, Excel, JavaScript"
